model,status,category,name,path,expected_size_bytes,actual_size_bytes,size_matches,exists,sha256
base_mnu,chains_ingested,chain,chain.1.txt,data_external/desi_dr2/cosmology_chains_verified/cosmology_chains/cobaya/base_mnu/desi-bao-all_planck2018-lowl-TT-clik_planck2018-lowl-EE-clik_planck-NPIPE-highl-CamSpec-TTTEEE_planck-act-dr6-lensing/chain.1.txt,19912500,19912500,True,True,36054b534914531b3baee465aec6c6814009f610053f4180bf105e2521dc6b0a
base_mnu,chains_ingested,chain,chain.2.txt,data_external/desi_dr2/cosmology_chains_verified/cosmology_chains/cobaya/base_mnu/desi-bao-all_planck2018-lowl-TT-clik_planck2018-lowl-EE-clik_planck-NPIPE-highl-CamSpec-TTTEEE_planck-act-dr6-lensing/chain.2.txt,20253600,20253600,True,True,c0d680ff5a2a4bcbd272e65ed4c9e1331a6ccaec58bd29af7415889c3df224bc
base_mnu,chains_ingested,chain,chain.3.txt,data_external/desi_dr2/cosmology_chains_verified/cosmology_chains/cobaya/base_mnu/desi-bao-all_planck2018-lowl-TT-clik_planck2018-lowl-EE-clik_planck-NPIPE-highl-CamSpec-TTTEEE_planck-act-dr6-lensing/chain.3.txt,19656900,19656900,True,True,beee0ff402b1b8df848eb8898b1c87ff8b945555e6e1246845634080a863ee3b
base_mnu,chains_ingested,chain,chain.4.txt,data_external/desi_dr2/cosmology_chains_verified/cosmology_chains/cobaya/base_mnu/desi-bao-all_planck2018-lowl-TT-clik_planck2018-lowl-EE-clik_planck-NPIPE-highl-CamSpec-TTTEEE_planck-act-dr6-lensing/chain.4.txt,19988100,19988100,True,True,1e1e3da882ac356bcada3bd2b48361dad68cdbc0962cf26651047b2fc9f7c0f4
base_mnu,chains_ingested,metadata,chain.checkpoint,data_external/desi_dr2/cosmology_chains_verified/cosmology_chains/cobaya/base_mnu/desi-bao-all_planck2018-lowl-TT-clik_planck2018-lowl-EE-clik_planck-NPIPE-highl-CamSpec-TTTEEE_planck-act-dr6-lensing/chain.checkpoint,105,105,True,True,afea642240b4f694fe29b68c02d86c2f075cb29830b05622a15bb9ddcc5fc919
base_mnu,chains_ingested,metadata,chain.covmat,data_external/desi_dr2/cosmology_chains_verified/cosmology_chains/cobaya/base_mnu/desi-bao-all_planck2018-lowl-TT-clik_planck2018-lowl-EE-clik_planck-NPIPE-highl-CamSpec-TTTEEE_planck-act-dr6-lensing/chain.covmat,6626,6626,True,True,da06c112791ff4e464f7af262c434f95ae94dac9ef9495366e41de09a4ff108c
base_mnu,chains_ingested,metadata,chain.input.yaml,data_external/desi_dr2/cosmology_chains_verified/cosmology_chains/cobaya/base_mnu/desi-bao-all_planck2018-lowl-TT-clik_planck2018-lowl-EE-clik_planck-NPIPE-highl-CamSpec-TTTEEE_planck-act-dr6-lensing/chain.input.yaml,3909,3909,True,True,2a2d5f07afce6b83b86dc5b13d8022afec07a65bf724227a63f6b4e29c623cbc
base_mnu,chains_ingested,metadata,chain.margestats,data_external/desi_dr2/cosmology_chains_verified/cosmology_chains/cobaya/base_mnu/desi-bao-all_planck2018-lowl-TT-clik_planck2018-lowl-EE-clik_planck-NPIPE-highl-CamSpec-TTTEEE_planck-act-dr6-lensing/chain.margestats,4624,4624,True,True,1efd4810e3ee78c1d6a60154fc2472a0187c9a0cf88207234a36b6b8706db227
base_mnu,chains_ingested,metadata,chain.progress,data_external/desi_dr2/cosmology_chains_verified/cosmology_chains/cobaya/base_mnu/desi-bao-all_planck2018-lowl-TT-clik_planck2018-lowl-EE-clik_planck-NPIPE-highl-CamSpec-TTTEEE_planck-act-dr6-lensing/chain.progress,5067,5067,True,True,850ae09920d3741134cea4512550f19326871e44ca8cf627774bab30f2971ec0
base_mnu,chains_ingested,metadata,chain.updated.yaml,data_external/desi_dr2/cosmology_chains_verified/cosmology_chains/cobaya/base_mnu/desi-bao-all_planck2018-lowl-TT-clik_planck2018-lowl-EE-clik_planck-NPIPE-highl-CamSpec-TTTEEE_planck-act-dr6-lensing/chain.updated.yaml,9476,9476,True,True,937df0aa2090947889ab62f5b4fa418eead4ec01dc5c3f4b66bec860ab19f0ab
base_mnu059,chains_ingested,chain,chain.1.txt,data_external/desi_dr2/cosmology_chains_verified/cosmology_chains/cobaya/base_mnu059/desi-bao-all_planck2018-lowl-TT-clik_planck2018-lowl-EE-clik_planck-NPIPE-highl-CamSpec-TTTEEE_planck-act-dr6-lensing/chain.1.txt,16884900,16884900,True,True,1d3e7b0114b56167a3ee89a8ec637db3e97b7224ed1064f87a01924b6f2d5a81
base_mnu059,chains_ingested,chain,chain.2.txt,data_external/desi_dr2/cosmology_chains_verified/cosmology_chains/cobaya/base_mnu059/desi-bao-all_planck2018-lowl-TT-clik_planck2018-lowl-EE-clik_planck-NPIPE-highl-CamSpec-TTTEEE_planck-act-dr6-lensing/chain.2.txt,16976700,16976700,True,True,744d06404a2fcc82cf2e63779a37583664e50eec0bd82ef15eb573d8692e49f0
base_mnu059,chains_ingested,chain,chain.3.txt,data_external/desi_dr2/cosmology_chains_verified/cosmology_chains/cobaya/base_mnu059/desi-bao-all_planck2018-lowl-TT-clik_planck2018-lowl-EE-clik_planck-NPIPE-highl-CamSpec-TTTEEE_planck-act-dr6-lensing/chain.3.txt,17163000,17163000,True,True,b7baa592d7a028ab244e386cb1d9dcccac6f38cc8950537a9748376e21754a3c
base_mnu059,chains_ingested,chain,chain.4.txt,data_external/desi_dr2/cosmology_chains_verified/cosmology_chains/cobaya/base_mnu059/desi-bao-all_planck2018-lowl-TT-clik_planck2018-lowl-EE-clik_planck-NPIPE-highl-CamSpec-TTTEEE_planck-act-dr6-lensing/chain.4.txt,17199900,17199900,True,True,8418eed3dff304da9ae52ddb1d5cd9281520926535074a7b0bfde11cd7d70377
base_mnu059,chains_ingested,metadata,chain.checkpoint,data_external/desi_dr2/cosmology_chains_verified/cosmology_chains/cobaya/base_mnu059/desi-bao-all_planck2018-lowl-TT-clik_planck2018-lowl-EE-clik_planck-NPIPE-highl-CamSpec-TTTEEE_planck-act-dr6-lensing/chain.checkpoint,107,107,True,True,5348112af7ca9ee9f677ba788c35b204f1e88bf8d01764e818e7a8b36bee6134
base_mnu059,chains_ingested,metadata,chain.covmat,data_external/desi_dr2/cosmology_chains_verified/cosmology_chains/cobaya/base_mnu059/desi-bao-all_planck2018-lowl-TT-clik_planck2018-lowl-EE-clik_planck-NPIPE-highl-CamSpec-TTTEEE_planck-act-dr6-lensing/chain.covmat,6626,6626,True,True,96e893ee6032f20e06bf77cab4dab19b0f5a11fb6415865cedf179d948e72754
base_mnu059,chains_ingested,metadata,chain.input.yaml,data_external/desi_dr2/cosmology_chains_verified/cosmology_chains/cobaya/base_mnu059/desi-bao-all_planck2018-lowl-TT-clik_planck2018-lowl-EE-clik_planck-NPIPE-highl-CamSpec-TTTEEE_planck-act-dr6-lensing/chain.input.yaml,3911,3911,True,True,517787dc78eca11e85e3a65f00fc28303a78053ad1894de8c2d964170a92f702
base_mnu059,chains_ingested,metadata,chain.margestats,data_external/desi_dr2/cosmology_chains_verified/cosmology_chains/cobaya/base_mnu059/desi-bao-all_planck2018-lowl-TT-clik_planck2018-lowl-EE-clik_planck-NPIPE-highl-CamSpec-TTTEEE_planck-act-dr6-lensing/chain.margestats,4624,4624,True,True,d0c8202289220e65c303ca6965ca03e835e2a0783e41efa295783fceb3f31b98
base_mnu059,chains_ingested,metadata,chain.progress,data_external/desi_dr2/cosmology_chains_verified/cosmology_chains/cobaya/base_mnu059/desi-bao-all_planck2018-lowl-TT-clik_planck2018-lowl-EE-clik_planck-NPIPE-highl-CamSpec-TTTEEE_planck-act-dr6-lensing/chain.progress,4361,4361,True,True,71d157cb6f6b8c85ebd03b70728d366e43143b6afd41ff29b9be10083022ad19
base_mnu059,chains_ingested,metadata,chain.updated.yaml,data_external/desi_dr2/cosmology_chains_verified/cosmology_chains/cobaya/base_mnu059/desi-bao-all_planck2018-lowl-TT-clik_planck2018-lowl-EE-clik_planck-NPIPE-highl-CamSpec-TTTEEE_planck-act-dr6-lensing/chain.updated.yaml,9478,9478,True,True,e5000680a44f54059e98c37b040298ffcfa676e70856e17c0e699ddff8488009
base_mnu_w_wa,chains_ingested,chain,chain.1.txt,data_external/desi_dr2/cosmology_chains_verified/cosmology_chains/cobaya/base_mnu_w_wa/desi-bao-all_planck2018-lowl-TT-clik_planck2018-lowl-EE-clik_planck-NPIPE-highl-CamSpec-TTTEEE_planck-act-dr6-lensing/chain.1.txt,42745248,42745248,True,True,9b31953f68c3005d3f3c3468dd212548895dc948d3b626a949599b4c3673a28d
base_mnu_w_wa,chains_ingested,chain,chain.2.txt,data_external/desi_dr2/cosmology_chains_verified/cosmology_chains/cobaya/base_mnu_w_wa/desi-bao-all_planck2018-lowl-TT-clik_planck2018-lowl-EE-clik_planck-NPIPE-highl-CamSpec-TTTEEE_planck-act-dr6-lensing/chain.2.txt,42611972,42611972,True,True,63b863c3b60d92287bec0a38c927946fc936b8eb7e55a8113f5d17e1963acbb7
base_mnu_w_wa,chains_ingested,chain,chain.3.txt,data_external/desi_dr2/cosmology_chains_verified/cosmology_chains/cobaya/base_mnu_w_wa/desi-bao-all_planck2018-lowl-TT-clik_planck2018-lowl-EE-clik_planck-NPIPE-highl-CamSpec-TTTEEE_planck-act-dr6-lensing/chain.3.txt,43039760,43039760,True,True,7a2c4b8ca21f65cad465fbcf44948292e916f0a713d5a7abb0267908a9ade484
base_mnu_w_wa,chains_ingested,chain,chain.4.txt,data_external/desi_dr2/cosmology_chains_verified/cosmology_chains/cobaya/base_mnu_w_wa/desi-bao-all_planck2018-lowl-TT-clik_planck2018-lowl-EE-clik_planck-NPIPE-highl-CamSpec-TTTEEE_planck-act-dr6-lensing/chain.4.txt,43056536,43056536,True,True,b5375ce896e9acc1dd0e48db196b3d16c50cbcb5e45bf8889f2c363d90d56122
base_mnu_w_wa,chains_ingested,metadata,chain.checkpoint,data_external/desi_dr2/cosmology_chains_verified/cosmology_chains/cobaya/base_mnu_w_wa/desi-bao-all_planck2018-lowl-TT-clik_planck2018-lowl-EE-clik_planck-NPIPE-highl-CamSpec-TTTEEE_planck-act-dr6-lensing/chain.checkpoint,108,108,True,True,6579aa1fb1d6fe5a3736510de9623efa068935a0b7553ed6729d0681ca14375c
base_mnu_w_wa,chains_ingested,metadata,chain.covmat,data_external/desi_dr2/cosmology_chains_verified/cosmology_chains/cobaya/base_mnu_w_wa/desi-bao-all_planck2018-lowl-TT-clik_planck2018-lowl-EE-clik_planck-NPIPE-highl-CamSpec-TTTEEE_planck-act-dr6-lensing/chain.covmat,8367,8367,True,True,73f3024c8d1f62ae0b4b671ce60a008e4506f11e0f66c1e780d3dccdfc89463d
base_mnu_w_wa,chains_ingested,metadata,chain.input.yaml,data_external/desi_dr2/cosmology_chains_verified/cosmology_chains/cobaya/base_mnu_w_wa/desi-bao-all_planck2018-lowl-TT-clik_planck2018-lowl-EE-clik_planck-NPIPE-highl-CamSpec-TTTEEE_planck-act-dr6-lensing/chain.input.yaml,4124,4124,True,True,cc2c4a44940781219c43fb35c77857f0ab6cf9a30ab096eba9f392979e47839a
base_mnu_w_wa,chains_ingested,metadata,chain.margestats,data_external/desi_dr2/cosmology_chains_verified/cosmology_chains/cobaya/base_mnu_w_wa/desi-bao-all_planck2018-lowl-TT-clik_planck2018-lowl-EE-clik_planck-NPIPE-highl-CamSpec-TTTEEE_planck-act-dr6-lensing/chain.margestats,4857,4857,True,True,d577c0499e9d5c9f3033e53a8f913ff81640c7adea88a8502d5f5baf68104121
base_mnu_w_wa,chains_ingested,metadata,chain.progress,data_external/desi_dr2/cosmology_chains_verified/cosmology_chains/cobaya/base_mnu_w_wa/desi-bao-all_planck2018-lowl-TT-clik_planck2018-lowl-EE-clik_planck-NPIPE-highl-CamSpec-TTTEEE_planck-act-dr6-lensing/chain.progress,8179,8179,True,True,8e82dae576602b1bd35f6b7e4bd151daedc72978673cb4b38f58b4dda5e66179
base_mnu_w_wa,chains_ingested,metadata,chain.updated.yaml,data_external/desi_dr2/cosmology_chains_verified/cosmology_chains/cobaya/base_mnu_w_wa/desi-bao-all_planck2018-lowl-TT-clik_planck2018-lowl-EE-clik_planck-NPIPE-highl-CamSpec-TTTEEE_planck-act-dr6-lensing/chain.updated.yaml,9716,9716,True,True,05313a97ac4a7e8bd996c2ce0070da8353a733c1c83eacc93f3eafd3a09e8b4f
